event_id,title,category,date,longitude,latitude,sequence,source,event_url
EONET_24268,Wildfire in Namibia 1031934,Wildfires,2026-09-11T19:00:00Z,16.525371955075,-19.219845995937,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24268
EONET_24269,Wildfire in Namibia 1031935,Wildfires,2026-09-11T19:00:00Z,16.853097248467,-19.010826514308,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24269
EONET_24288,Wildfire in Australia 1031957,Wildfires,2026-09-11T19:00:00Z,123.83814476183,-17.785345067781,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24288
EONET_24289,Wildfire in Brazil 1031958,Wildfires,2026-09-11T19:00:00Z,-46.821645175035,-11.366068693712,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24289
EONET_24290,Wildfire in Zambia 1031940,Wildfires,2026-09-10T19:00:00Z,23.624330877053,-17.296344622414,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24290
EONET_24291,Wildfire in Brazil 1031959,Wildfires,2026-09-10T19:00:00Z,-50.133013156616,-9.3969353889694,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24291
EONET_24292,Wildfire in Brazil 1031952,Wildfires,2026-09-10T19:00:00Z,-51.673864324419,-13.316752180446,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24292
EONET_24245,Wildfire in Australia 1031915,Wildfires,2026-09-09T19:00:00Z,123.6974310692,-20.503068317887,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24245
EONET_24246,Wildfire in Australia 1031916,Wildfires,2026-09-09T19:00:00Z,123.93079294141,-17.97505203661,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24246
EONET_24247,Wildfire in Angola 1031899,Wildfires,2026-09-09T19:00:00Z,20.498908523505,-16.51419243014,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24247
EONET_24248,Wildfire in Zambia 1031900,Wildfires,2026-09-09T19:00:00Z,31.823007365441,-10.941649111769,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24248
EONET_24249,Wildfire in Botswana 1031898,Wildfires,2026-09-09T19:00:00Z,24.324062224471,-23.632054795735,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24249
EONET_24270,Wildfire in Namibia 1031920,Wildfires,2026-09-09T19:00:00Z,20.523392756908,-18.134428187278,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24270
EONET_24271,Wildfire in Namibia 1031921,Wildfires,2026-09-09T19:00:00Z,19.339364922523,-18.526100485669,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24271
EONET_24293,Wildfire in Zambia 1031941,Wildfires,2026-09-09T19:00:00Z,31.891932385475,-10.870696115233,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_24293
EONET_23800,Cyclone Marie,Severe Storms,2026-09-01T06:00:00Z,-108.1,14.1,0,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-02T00:00:00Z,-109.9,15.9,1,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-02T12:00:00Z,-111.3,16.8,2,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-03T06:00:00Z,-113.4,18.7,3,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-04T00:00:00Z,-115.9,19.5,4,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-04T12:00:00Z,-117.6,19.9,5,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-05T06:00:00Z,-119.3,21.1,6,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-05T18:00:00Z,-120.6,21.9,7,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
EONET_23800,Cyclone Marie,Severe Storms,2026-09-06T12:00:00Z,-122.3,23.3,8,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_23800
