id,title,year,doi,cited_by_count,source,abstract,authors,topics,keywords
W2141115795,"Visual Analytics: Definition, Process, and Challenges",2008,https://doi.org/10.1007/978-3-540-70956-5_7,1062,Lecture notes in computer science,,Daniel A. Keim | Gennady Andrienko | Jean‐Daniel Fekete | Carsten Görg | Jörn Kohlhammer | Guy Mélançon,Data Visualization and Analytics | Data Management and Algorithms | Video Analysis and Summarization,Computer science | Raw data | Process (computing) | Data science | Value (mathematics) | Analytics | Visual analytics
W2261525379,"Beyond the hype: Big data concepts, methods, and analytics",2014,https://doi.org/10.1016/j.ijinfomgt.2014.10.007,4200,International Journal of Information Management,"Size is the first, and at times, the only dimension that leaps out at the mention of big data. This paper attempts to offer a broader definition of big data that captures its other unique and defining characteristics. The rapid evolution and adoption of big data by industry has leapfrogged the discourse to popular outlets, forcing the academic press to catch up. Academic journals in numerous disciplines, which will benefit from a relevant discussion of big data, have yet to cover the topic. This paper presents a consolidated description of big data by integrating definitions from practitioners and academics. The paper's primary focus is on the analytic methods used for big data. A particular distinguishing feature of this paper is its focus on analytics related to unstructured data, which constitute 95% of big data. This paper highlights the need to develop appropriate and efficient analytical methods to leverage massive volumes of heterogeneous data in unstructured text, audio, and video formats. This paper also reinforces the need to devise new tools for predictive analytics for structured big data. The statistical methods in practice were devised to infer from sample data. The heterogeneity, noise, and the massive size of structured big data calls for developing computationally efficient algorithms that may avoid big data pitfalls, such as spurious correlation.",Amir Gandomi | Murtaza Haider,Big Data Technologies and Applications | Data Visualization and Analytics | Time Series Analysis and Forecasting,Big data | Data science | Computer science | Unstructured data | LEAPS | Leverage (statistics) | Analytics
W2487200295,Critical analysis of Big Data challenges and analytical methods,2016,https://doi.org/10.1016/j.jbusres.2016.08.001,2054,Journal of Business Research,"Big Data (BD), with their potential to ascertain valued insights for enhanced decision-making process, have recently attracted substantial interest from both academics and practitioners. Big Data Analytics (BDA) is increasingly becoming a trending practice that many organizations are adopting with the purpose of constructing valuable information from BD. The analytics process, including the deployment and use of BDA tools, is seen by organizations as a tool to improve operational efficiency though it has strategic potential, drive new revenue streams and gain competitive advantages over business rivals. However, there are different types of analytic applications to consider. Therefore, prior to hasty use and buying costly BD tools, there is a need for organizations to first understand the BDA landscape. Given the significant nature of the BD and BDA, this paper presents a state-of-the-art review that presents a holistic view of the BD challenges and BDA methods theorized/proposed/employed by organizations to help others understand this landscape with the objective of making robust investment decisions. In doing so, systematically analysing and synthesizing the extant research published on BD and BDA area. More specifically, the authors seek to answer the following two principal questions: Q1 – What are the different types of BD challenges theorized/proposed/confronted by organizations? and Q2 – What are the different types of BDA methods theorized/proposed/employed to overcome BD challenges? . This systematic literature review (SLR) is carried out through observing and understanding the past trends and extant patterns/themes in the BDA research area, evaluating contributions, summarizing knowledge, thereby identifying limitations, implications and potential further research avenues to support the academic community in exploring research themes/patterns. Thus, to trace the implementation of BD strategies, a profiling method is employed to analyze articles (published in English-speaking peer-reviewed journals between 1996 and 2015) extracted from the Scopus database. The analysis presented in this paper has identified relevant BD research studies that have contributed both conceptually and empirically to the expansion and accrual of intellectual wealth to the BDA in technology and organizational resource management discipline.",Uthayasankar Sivarajah | Muhammad Mustafa Kamal | Zahir Irani | Vishanth Weerakkody,Big Data and Business Intelligence | Blockchain Technology Applications and Security | Forecasting Techniques and Applications,Extant taxon | Big data | Process (computing) | Software deployment | Data science | Principal (computer security) | Revenue
W2085864217,"Space, time and visual analytics",2010,https://doi.org/10.1080/13658816.2010.508043,433,International Journal of Geographical Information Systems,"Visual analytics aims to combine the strengths of human and electronic data processing. Visualisation, whereby humans and computers cooperate through graphics, is the means through which this is achieved. Seamless and sophisticated synergies are required for analysing spatio-temporal data and solving spatio-temporal problems. In modern society, spatio-temporal analysis is not solely the business of professional analysts. Many citizens need or would be interested in undertaking analysis of information in time and space. Researchers should find approaches to deal with the complexities of the current data and problems and find ways to make analytical tools accessible and usable for the broad community of potential users to support spatio-temporal thinking and contribute to solving a large range of problems.",Gennady Andrienko | Natalia Andrienko | Urška Demšar | Doris Dransch | Jason Dykes | Sara Irina Fabrikant | Mikael Jern | M.J. Kraak | Heidrun Schumann | Christian Tominski,Data Visualization and Analytics | Geographic Information Systems Studies | Data Management and Algorithms,Visual analytics | USable | Data science | Computer science | Analytics | Space (punctuation) | Visualization
W3195494505,Street view imagery in urban analytics and GIS: A review,2021,https://doi.org/10.1016/j.landurbplan.2021.104217,892,Landscape and Urban Planning,"Street view imagery has rapidly ascended as an important data source for geospatial data collection and urban analytics, deriving insights and supporting informed decisions. Such surge has been mainly catalysed by the proliferation of large-scale imagery platforms, advances in computer vision and machine learning, and availability of computing resources. We screened more than 600 recent papers to provide a comprehensive systematic review of the state of the art of how street-level imagery is currently used in studies pertaining to the built environment. The main findings are that: (i) street view imagery is now clearly an entrenched component of urban analytics and GIScience; (ii) most of the research relies on data from Google Street View; and (iii) it is used across myriads of domains with numerous applications – ranging from analysing vegetation and transportation to health and socio-economic studies. A notable trend is crowdsourced street view imagery, facilitated by services such as Mapillary and KartaView, in some cases furthering geographical coverage and temporal granularity, at a permissive licence.",Filip Biljecki | Koichi Ito,Impact of Light on Environment and Health | Automated Road and Building Extraction | Land Use and Ecosystem Services,Geospatial analysis | Analytics | Data science | Cultural analytics | Computer science | Geographic information system | Remote sensing
W2171036274,Challenges in Visual Data Analysis,2006,https://doi.org/10.1109/iv.2006.31,397,,"In today's applications data is produced at unprecedented rates. While the capacity to collect and store new data grows rapidly, the ability to analyze these data volumes increases at much lower pace. This gap leads to new challenges in the analysis process, since analysts, decision makers, engineers, or emergency response teams depend on information ""concealed"" in the data. The emerging field of visual analytics focuses on handling massive, heterogenous, and dynamic volumes of information through integration of human judgement by means of visual representations and interaction techniques in the analysis process. Furthermore, it is the combination of related research areas including visualization, data mining, and statistics that turns visual analytics into a promising field of research. This paper aims at providing an overview of visual analytics, its scope and concepts, and details the most important technical research challenges in the field",Daniel A. Keim | Florian Mansmann | J. Schneidewind | Hartmut Ziegler,Data Visualization and Analytics | Video Analysis and Summarization,Visual analytics | Data science | Computer science | Pace | Cultural analytics | Visualization | Field (mathematics)
W2151103962,Visualization and analytics tools for infectious disease epidemiology: A systematic review,2014,https://doi.org/10.1016/j.jbi.2014.04.006,261,Journal of Biomedical Informatics,"BACKGROUND: A myriad of new tools and algorithms have been developed to help public health professionals analyze and visualize the complex data used in infectious disease control. To better understand approaches to meet these users' information needs, we conducted a systematic literature review focused on the landscape of infectious disease visualization tools for public health professionals, with a special emphasis on geographic information systems (GIS), molecular epidemiology, and social network analysis. The objectives of this review are to: (1) identify public health user needs and preferences for infectious disease information visualization tools; (2) identify existing infectious disease information visualization tools and characterize their architecture and features; (3) identify commonalities among approaches applied to different data types; and (4) describe tool usability evaluation efforts and barriers to the adoption of such tools. METHODS: We identified articles published in English from January 1, 1980 to June 30, 2013 from five bibliographic databases. Articles with a primary focus on infectious disease visualization tools, needs of public health users, or usability of information visualizations were included in the review. RESULTS: A total of 88 articles met our inclusion criteria. Users were found to have diverse needs, preferences and uses for infectious disease visualization tools, and the existing tools are correspondingly diverse. The architecture of the tools was inconsistently described, and few tools in the review discussed the incorporation of usability studies or plans for dissemination. Many studies identified concerns regarding data sharing, confidentiality and quality. Existing tools offer a range of features and functions that allow users to explore, analyze, and visualize their data, but the tools are often for siloed applications. Commonly cited barriers to widespread adoption included lack of organizational support, access issues, and misconceptions about tool use. DISCUSSION AND CONCLUSION: As the volume and complexity of infectious disease data increases, public health professionals must synthesize highly disparate data to facilitate communication with the public and inform decisions regarding measures to protect the public's health. Our review identified several themes: consideration of users' needs, preferences, and computer literacy; integration of tools into routine workflow; complications associated with understanding and use of visualizations; and the role of user trust and organizational support in the adoption of these tools. Interoperability also emerged as a prominent theme, highlighting challenges associated with the increasingly collaborative and interdisciplinary nature of infectious disease control and prevention. Future work should address methods for representing uncertainty and missing data to avoid misleading users as well as strategies to minimize cognitive overload.",Lauren Carroll | Alan Au | Landon T Detwiler | Tsung‐chieh Fu | Ian Painter | Neil F. Abernethy,Data Visualization and Analytics | Data-Driven Disease Surveillance | Zoonotic diseases and public health,Usability | Visualization | Visual analytics | Computer science | Information visualization | Data science | Confidentiality
W2117332520,"Social media analytics: a survey of techniques, tools and platforms",2014,https://doi.org/10.1007/s00146-014-0549-4,706,AI & Society,"This paper is written for (social science) researchers seeking to analyze the wealth of social media now available. It presents a comprehensive review of software tools for social networking media, wikis, really simple syndication feeds, blogs, newsgroups, chat and news feeds. For completeness, it also includes introductions to social media scraping, storage, data cleaning and sentiment analysis. Although principally a review, the paper also provides a methodology and a critique of social media tools. Analyzing social media, in particular Twitter feeds for sentiment analysis, has become a major research and business activity due to the availability of web-based application programming interfaces (APIs) provided by Twitter, Facebook and News services. This has led to an ‘explosion’ of data services, software tools for scraping and analysis and social media analytics platforms. It is also a research area undergoing rapid change and evolution due to commercial pressures and the potential for using social media data for computational (social science) research. Using a simple taxonomy, this paper provides a review of leading software tools and how to use them to scrape, cleanse and analyze the spectrum of social media. In addition, it discussed the requirement of an experimental computational environment for social media research and presents as an illustration the system architecture of a social media (analytics) platform built by University College London. The principal contribution of this paper is to provide an overview (including code fragments) for scientists seeking to utilize social media scraping and analytics either in their research or business. The data retrieval techniques that are presented in this paper are valid at the time of writing this paper (June 2014), but they are subject to change since social media data scraping APIs are rapidly changing.",Bogdan Batrinca | Philip Treleaven,Complex Network Analysis Techniques | Spam and Phishing Detection | Sentiment Analysis and Opinion Mining,Social media | Computer science | World Wide Web | Data science | Analytics | Social media analytics | Software
W3122555173,Visualizing and Interacting with Geospatial Networks: A Survey and Design Space,2021,https://doi.org/10.1111/cgf.14198,62,Computer Graphics Forum,"Abstract This paper surveys visualization and interaction techniques for geospatial networks from a total of 95 papers. Geospatial networks are graphs where nodes and links can be associated with geographic locations. Examples can include social networks, trade and migration, as well as traffic and transport networks. Visualizing geospatial networks poses numerous challenges around the integration of both network and geographical information as well as additional information such as node and link attributes, time and uncertainty. Our overview analyses existing techniques along four dimensions: (i) the representation of geographical information, (ii) the representation of network information, (iii) the visual integration of both and (iv) the use of interaction. These four dimensions allow us to discuss techniques with respect to the trade‐offs they make between showing information across all these dimensions and how they solve the problem of showing as much information as necessary while maintaining readability of the visualization. https://geonetworks.github.io .",Sarah Schöttler | Yalong Yang | Hanspeter Pfister | Benjamin Bach,Data Visualization and Analytics | Geographic Information Systems Studies | Complex Network Analysis Techniques,Geospatial analysis | Computer science | Visualization | Representation (politics) | Data science | Geographic information system | Readability
W3005359275,Geospatial Data Management Research: Progress and Future Directions,2020,https://doi.org/10.3390/ijgi9020095,194,ISPRS International Journal of Geo-Information,"Without geospatial data management, today’s challenges in big data applications such as earth observation, geographic information system/building information modeling (GIS/BIM) integration, and 3D/4D city planning cannot be solved. Furthermore, geospatial data management plays a connecting role between data acquisition, data modelling, data visualization, and data analysis. It enables the continuous availability of geospatial data and the replicability of geospatial data analysis. In the first part of this article, five milestones of geospatial data management research are presented that were achieved during the last decade. The first one reflects advancements in BIM/GIS integration at data, process, and application levels. The second milestone presents theoretical progress by introducing topology as a key concept of geospatial data management. In the third milestone, 3D/4D geospatial data management is described as a key concept for city modelling, including subsurface models. Progress in modelling and visualization of massive geospatial features on web platforms is the fourth milestone which includes discrete global grid systems as an alternative geospatial reference framework. The intensive use of geosensor data sources is the fifth milestone which opens the way to parallel data storage platforms supporting data analysis on geosensors. In the second part of this article, five future directions of geospatial data management research are presented that have the potential to become key research fields of geospatial data management in the next decade. Geo-data science will have the task to extract knowledge from unstructured and structured geospatial data and to bridge the gap between modern information technology concepts and the geo-related sciences. Topology is presented as a powerful and general concept to analyze GIS and BIM data structures and spatial relations that will be of great importance in emerging applications such as smart cities and digital twins. Data-streaming libraries and “in-situ” geo-computing on objects executed directly on the sensors will revolutionize geo-information science and bridge geo-computing with geospatial data management. Advanced geospatial data visualization on web platforms will enable the representation of dynamically changing geospatial features or moving objects’ trajectories. Finally, geospatial data management will support big geospatial data analysis, and graph databases are expected to experience a revival on top of parallel and distributed data stores supporting big geospatial data analysis.",Martin Breunig | Patrick Erik Bradley | Markus Jahn | Paul Vincent Kuper | Nima Mazroob | Norbert Rösch | Mulhim Al-Doori | Emmanuel Stefanakis | Mojgan Jadidi,3D Modeling in Geospatial Applications | Geographic Information Systems Studies | Data Management and Algorithms,Geospatial analysis | Milestone | Data science | Data management | Computer science | Geospatial PDF | Geographic information system
